                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.0738,                0.76728,                  1.129,                0.73961,                0.60291,                0.65081,                0.38831,                 1.1909,                 0.9657,                 1.2325,             0.00019807,             0.00019807,             0.00019807
                     81,                 1.0841,                0.77113,                  1.129,                0.75464,                0.59988,                0.64934,                0.38815,                 1.1954,                0.95515,                 1.2342,             0.00018907,             0.00018907,             0.00018907
                     82,                 1.0804,                0.78035,                 1.1354,                0.74204,                0.60846,                0.64598,                0.38541,                 1.2076,                0.96195,                 1.2397,             0.00018007,             0.00018007,             0.00018007
                     83,                 1.0791,                0.77324,                 1.1337,                0.73528,                0.61104,                0.64579,                0.38053,                 1.2059,                0.97664,                 1.2368,             0.00017107,             0.00017107,             0.00017107
                     84,                   1.07,                0.76813,                 1.1276,                0.76416,                 0.6065,                0.65378,                0.39079,                 1.2049,                0.96186,                 1.2411,             0.00016207,             0.00016207,             0.00016207
                     85,                 1.0663,                0.74921,                 1.1153,                 0.7591,                0.61036,                0.65424,                0.39162,                 1.1952,                0.95664,                 1.2271,             0.00015308,             0.00015308,             0.00015308
                     86,                 1.0641,                0.76223,                 1.1255,                0.73538,                0.61404,                  0.652,                  0.395,                 1.1837,                 0.9648,                 1.2225,             0.00014408,             0.00014408,             0.00014408
                     87,                 1.0588,                0.75044,                 1.1181,                0.73003,                0.62029,                0.64861,                0.39231,                 1.1822,                0.96531,                  1.223,             0.00013508,             0.00013508,             0.00013508
                     88,                 1.0721,                0.76834,                 1.1255,                 0.7627,                0.59528,                0.65201,                0.39484,                 1.1866,                0.95996,                  1.225,             0.00012608,             0.00012608,             0.00012608
                     89,                 1.0537,                0.74657,                 1.1131,                  0.744,                 0.6149,                0.65218,                0.40054,                 1.1817,                0.95251,                 1.2222,             0.00011708,             0.00011708,             0.00011708
                     90,                 1.0611,                0.76522,                   1.13,                0.76653,                0.61228,                0.65263,                0.39588,                 1.1823,                0.94537,                 1.2223,             0.00010808,             0.00010808,             0.00010808
                     91,                  1.056,                0.77716,                 1.1252,                0.74947,                0.60681,                 0.6467,                 0.3803,                 1.2154,                0.99861,                 1.2412,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 1.0204,                0.71872,                  1.093,                0.76016,                0.59593,                0.64899,                0.38933,                 1.1948,                0.95692,                 1.2277,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                   1.03,                 0.7139,                 1.0885,                0.71198,                0.59809,                0.64517,                0.38368,                 1.2039,                0.96853,                 1.2326,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.99518,                0.70058,                  1.082,                0.75563,                0.60554,                0.64925,                0.38583,                 1.1995,                0.97961,                 1.2245,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.99679,                 0.6954,                 1.0928,                0.73735,                0.61609,                0.65561,                0.38646,                 1.1854,                0.95722,                 1.2175,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.99753,                 0.7016,                 1.0831,                0.72889,                0.62202,                0.65971,                0.38687,                 1.1943,                0.95673,                 1.2255,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.98472,                0.68034,                 1.0769,                0.73163,                0.62352,                0.65428,                0.38742,                 1.1955,                0.96262,                 1.2263,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.98049,                0.67486,                 1.0767,                 0.7225,                0.60548,                0.65094,                0.38833,                 1.1917,                0.95262,                 1.2228,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.99505,                0.70342,                 1.0848,                0.73922,                0.61259,                0.65092,                0.38802,                 1.1911,                0.95168,                 1.2222,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.97356,                0.67452,                 1.0742,                0.74204,                0.61001,                 0.6504,                0.38537,                 1.1952,                0.95465,                 1.2246,             1.8089e-05,             1.8089e-05,             1.8089e-05
